videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
f3p6tdLO1Cg,"Can RLCS casters play and cast at the same time?",2022-12-07,Long Form,13M44S,824,365534,18708,774
IFYSFz2BZSI,"The funniest rocket league pro you've never heard of",2022-11-30,Long Form,15M12S,912,1637445,55469,2210
D9OKSQaVEZ4,"How one Rocket League pro made an entire community hate him",2022-11-19,Long Form,12M51S,771,2192926,69517,5262
2FMSDTTCPck,"when you’re mad in car soccer",2022-11-09,Long Form,13M31S,811,635280,23414,1278
eAq8k3Z9Txk,"The best console players 1v1 for a FREE PC",2022-10-29,Long Form,20M30S,1230,1303839,34756,1304
LQpZoWmyKZw,"I have a confession - I pretended to suck",2022-10-22,Long Form,12M30S,750,1063159,63678,2946
TZkSHfeAOPs,"The true story behind the first cheater in Rocket League",2022-10-12,Long Form,12M33S,753,1800260,65954,2694
X5aBnUW6yx8,"jon sandman",2022-09-28,Long Form,13M44S,824,535895,26588,1489
lEELndOzJuE,"bob",2022-09-16,Long Form,10M49S,649,897082,35516,1526
QyaF9Sp1n1M,"I found smurfs in low ranks and 1v1'd them",2022-09-07,Long Form,14M1S,841,4452384,87153,1835
RTdLsubuqfk,"The easiest way to stall in Rocket League",2022-08-20,Long Form,7M19S,439,599202,21591,1020
pqkN05vTBPo,"If rocket league had racing",2022-08-10,Long Form,10M13S,613,361437,15784,601
Uqh_23hU3RI,"The Return of Musty and Leth",2022-07-30,Long Form,11M4S,664,727146,27556,1037
wQOomOq0NWM,"I gave silvers aimbot against a pro boss in Rocket League",2022-07-22,Long Form,23M5S,1385,3294157,51040,1865
vgMDWXB05Lo,"RLBS 2",2022-07-14,Long Form,20M28S,1228,975205,43164,1277
x-fbD1Y2GzE,"I tried smurfing",2022-07-09,Long Form,9M52S,592,534147,24826,792
y1-J1m9H-Eg,"Low ranked players in a pro Rocket League lobby",2022-06-24,Long Form,12M51S,771,980300,31630,1328
sPOUdDXpSl8,"That one Rocket League update was a huge problem",2022-06-17,Long Form,13M46S,826,846940,30968,1508
fQGhstpSfSU,"Pretending to be a pro over voice chat again",2022-06-08,Long Form,13M34S,814,402028,21762,927
ZvT5GiXQnps,"I challenged my teammates to Rocket League trivia for credits",2022-05-28,Long Form,27M3S,1623,846291,24228,830
sO2D0v0cNs0,"Pros vs Freestylers",2022-05-21,Long Form,15M3S,903,1056502,32006,871
J5mscvg3RG0,"Acting like a pro in my ranked games",2022-05-14,Long Form,16M35S,995,713110,40546,2934
owhz5RSX0go,"I 1v1d a bot with 250,000 hours in Rocket League",2022-05-07,Long Form,10M49S,649,711208,32821,1593
W6goHC2Zb88,"The new Rocket League mode with no ball",2022-04-30,Long Form,8M22S,502,542913,22371,1170
NnRQIKHE1_c,"Why Rocket League is so hard",2022-04-23,Long Form,6M17S,377,655561,39870,1462
eyykifNNVnI,"A youtuber stole my video ideas, so I challenged him to a IRL Rocket League 1v1 battle",2022-04-09,Long Form,12M32S,752,643414,29697,911
D77HFxxmXnM,"The best save in Rocket League history",2022-04-02,Long Form,10M50S,650,2641283,81984,2157
8WrMirXxinM,"Meet the 70 year-old with 7000 hours in Rocket League",2022-03-23,Long Form,12M35S,755,1704714,72212,5070
rdS_JVr-gts,"I don't understand the new Rocket League season",2022-03-16,Long Form,13M19S,799,1004741,37404,1390
HRb9liaRK0A,"Can a pro win Rocket League games without scoring?",2022-02-28,Long Form,11M2S,662,543491,28604,1320
RIa77TCUEj0,"Every rank can make this shot…",2022-02-17,Long Form,11M34S,694,969945,30686,1517
