videoId,Title,UploadDate,Duration,DurationInS,ViewCount,LikeCount,CommentCount
GKvleI4Uj10,"White Girl Haggles in Flawless Chinese & Amazes Vendors 😂",2020-03-06,11M37S,697,2004135,35429,1728
OvBFo8h_0MI,"White Guy Orders Takeout in Perfect Chinese, THIS happened…",2020-03-02,10M41S,641,53597684,977842,49513
CgKh7YhZqLA,"White Guy Raps in Insanely Fast Chinese, SHOCKS Chinatown",2020-02-27,5M26S,326,1099978,33829,2337
7aHIGPB0PVQ,"Orthodox Jew SHOCKS People With Flawless Chinese",2020-02-21,14M18S,858,4574109,77779,4449
zl6fkQuqH4E,"White Guy Shocks Kung Fu Master with Perfect Chinese",2020-02-19,10M1S,601,2244770,55908,2839
pouKIooZS8U,"White Girl Orders in Perfect Chinese, THIS happened...",2020-02-17,4M26S,266,8410944,151155,8616
CxwJfNMCzIU,"Clueless White Girl Orders Boba Tea in Perfect Chinese, Owner Stunned",2020-02-14,10M15S,615,7675248,175775,9156
ccFbxftmvAE,"White Guys Stun Entire Barber Shop With Perfect Chinese",2020-02-09,10M1S,601,4808204,92183,7135
XdSLJnnRDN4,"Chinese Speaking White Guys Catch Gossiping Nail Salon Workers Red Handed",2020-02-07,10M29S,629,49936373,931787,37484
-Q65_Y8PsB8,"White Guy Gets Street Food in Rare Chinese Dialect, STUNS Locals",2020-02-03,5M57S,357,4126191,65211,2752
SVlLXDYb7QM,"Clueless White Guy Orders in Rare Chinese Dialect, Patrons SHOCKED",2020-01-29,10M13S,613,14808139,274113,11780
njn6krU3tQ8,"Clueless White Guy Orders in Perfect Chinese, Shocks Patrons and Staff",2020-01-20,8M11S,491,93080158,1925624,77335
0BTF_OzZ-co,"White Guys Surprise Locals with Rare Chinese Dialect, They are Stunned",2020-01-07,10M1S,601,6255524,102931,4904
49SD1M46HHo,"White Guys Prank Chinese People with Perfect Mandarin",2020-01-03,10M17S,617,8890856,132840,6209
lV7H9bpXaEY,"Clueless American Tourist Busts Out Perfect Chinese, Shocks Locals",2019-12-23,10M42S,642,20326735,379431,14838
6r18Ixx4vqU,"White Guys Bargain in Perfect Mandarin at Chinese Market, Amaze Vendors",2019-12-02,10M49S,649,8953345,112397,5134
CQ8WtdXKBKc,"White Guys Buy Stuff Together in Perfect Chinese, Shock Locals",2019-11-27,11M2S,662,9799595,192179,6785
y8TIy4dgui8,"White Guy Surprises People in NYC Chinatown with Perfect Chinese",2019-10-15,7M7S,427,7501627,157346,6985
