videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
vo0gmNSRhHY,"the ark survival e x p e r i e n c e",2025-04-27,Long Form,36M16S,undefined,2429,135,31
f62ULClHW_Q,"Ranking Minecraft's Most EVIL PvP Kits",2025-02-24,Long Form,20M53S,undefined,911355,39093,1139
6_czM68-dIs,"Surviving Horror Mods in an Arctic Wasteland",2024-11-13,Long Form,32M46S,undefined,16507,965,109
OMBM3Mp6FkE,"3 guys infinite blocks",2024-09-14,Long Form,37M13S,undefined,15548,869,140
DpjZgPfhQ8c,"Minecraft's Goofiest PVP Kits",2024-08-17,Long Form,8M13S,undefined,136888,8975,403
TdJEOWYoL2o,"Minecraft's Funniest PVP Kits",2024-06-21,Long Form,6M29S,undefined,474745,21286,614
KYlJZQQyNec,"Hacking on P2W Servers is Hilarious",2024-06-03,Long Form,9M29S,undefined,40167,1688,284
