videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
Uqh_23hU3RI,"The Return of Musty and Leth",2022-07-30,Long Form,11M4S,undefined,726969,27558,1039
wQOomOq0NWM,"I gave silvers aimbot against a pro boss in Rocket League",2022-07-22,Long Form,23M5S,undefined,3290702,50980,1865
vgMDWXB05Lo,"RLBS 2",2022-07-14,Long Form,20M28S,undefined,974006,43143,1277
x-fbD1Y2GzE,"I tried smurfing",2022-07-09,Long Form,9M52S,undefined,534086,24828,792
y1-J1m9H-Eg,"Low ranked players in a pro Rocket League lobby",2022-06-24,Long Form,12M51S,undefined,979872,31625,1328
sPOUdDXpSl8,"That one Rocket League update was a huge problem",2022-06-17,Long Form,13M46S,undefined,846723,30966,1508
fQGhstpSfSU,"Pretending to be a pro over voice chat again",2022-06-08,Long Form,13M34S,undefined,401803,21756,927
ZvT5GiXQnps,"I challenged my teammates to Rocket League trivia for credits",2022-05-28,Long Form,27M3S,undefined,845760,24225,831
sO2D0v0cNs0,"Pros vs Freestylers",2022-05-21,Long Form,15M3S,undefined,1056204,32004,871
J5mscvg3RG0,"Acting like a pro in my ranked games",2022-05-14,Long Form,16M35S,undefined,712462,40529,2933
owhz5RSX0go,"I 1v1d a bot with 250,000 hours in Rocket League",2022-05-07,Long Form,10M49S,undefined,710983,32824,1593
W6goHC2Zb88,"The new Rocket League mode with no ball",2022-04-30,Long Form,8M22S,undefined,542851,22368,1170
NnRQIKHE1_c,"Why Rocket League is so hard",2022-04-23,Long Form,6M17S,undefined,655460,39864,1462
eyykifNNVnI,"A youtuber stole my video ideas, so I challenged him to a IRL Rocket League 1v1 battle",2022-04-09,Long Form,12M32S,undefined,643349,29700,911
D77HFxxmXnM,"The best save in Rocket League history",2022-04-02,Long Form,10M50S,undefined,2640140,81981,2157
8WrMirXxinM,"Meet the 70 year-old with 7000 hours in Rocket League",2022-03-23,Long Form,12M35S,undefined,1704559,72213,5069
rdS_JVr-gts,"I don't understand the new Rocket League season",2022-03-16,Long Form,13M19S,undefined,1004492,37399,1390
HRb9liaRK0A,"Can a pro win Rocket League games without scoring?",2022-02-28,Long Form,11M2S,undefined,543454,28606,1320
RIa77TCUEj0,"Every rank can make this shot…",2022-02-17,Long Form,11M34S,undefined,969776,30684,1518
mVW239Hi8fU,"We challenged the best Rocket League freestylers to battle like Pokemon AGAIN",2022-02-08,Long Form,12M30S,undefined,754117,31808,1021
PJXBloHKEf8,"Reacting to the most viewed Rocket League clips of all time",2022-02-01,Long Form,14M54S,undefined,1408645,48514,978
NUnw0OSNUr0,"1 Pro vs 3 of each rank until he loses (Insane Daniel Showmatch)",2022-01-25,Long Form,16M27S,undefined,2831379,72031,3673
P8iM6XMgbzg,"Pro rocket league mafia",2022-01-13,Long Form,15M46S,undefined,824147,31408,852
VbJg_2QA4H8,"The top 20 Rocket League players in the world in 2021",2022-01-06,Long Form,11M18S,undefined,1006619,33963,2379
XL62Xg1h3Z4,"Every Toxic Player in Rocket League 7",2021-12-25,Long Form,15M18S,undefined,1317102,51140,2286
4vFuyNGAXU0,"I don't understand MOBILE Rocket League (sideswipe)",2021-12-15,Long Form,8M25S,undefined,929441,33846,1318
aeG-M5nT7Zg,"Rocket Dreams: The Story of Sandrock Gaming",2021-12-07,Long Form,15M40S,undefined,1415878,74224,4401
N70mfVVEI0c,"I hired rank boosters but then lost every single game to make them rage in Rocket League",2021-11-26,Long Form,16M19S,undefined,1758685,64270,3343
9KGMzvommu4,"World's Longest Rocket League Match (24 hours)",2021-11-17,Long Form,24M57S,undefined,3511134,83478,2056
wXHnoXvSJKY,"Rocket League pros try to guess ranks of regular players",2021-11-07,Long Form,12M52S,undefined,1105313,33690,2539
n_5fGBzSrLo,"I created a TERRIFYING Rocket League prank to get reactions from my friends",2021-10-30,Long Form,12M14S,undefined,2487608,62314,1119
E-uXpaz9tjg,"Meet the youngest Grand Champion in the world",2021-10-23,Long Form,14M29S,undefined,1774960,51828,2761
Ljfft0hKPGY,"I made regular players coach a pro Rocket League player",2021-10-16,Long Form,10M25S,undefined,608874,27001,988
PgGXbjZAu_c,"I challenged strangers to score a real life Rocket League goal",2021-10-09,Long Form,10M22S,undefined,465918,24981,1513
gx9uxX0EIJ4,"I challenged strangers on Omegle to 1v1 in Rocket League",2021-10-02,Long Form,12M49S,undefined,953670,42321,1513
25TNiom9KvM,"Making low ranked players do the mechanics they bragged they could do",2021-09-25,Long Form,11M10S,undefined,5332237,113191,24003
40XyQLUgb10,"I challenged Rocket League Pros to 1v1 me as a huge hot dog",2021-09-18,Long Form,10M6S,undefined,1799410,53543,1625
qRTRvfO2tfY,"We created the best real life Rocket League ever made",2021-09-11,Long Form,13M18S,undefined,3179472,96303,3589
GtjXzFCA46I,"I made a fake RLCS broadcast to troll rocket league esports fans",2021-09-04,Long Form,27M50S,undefined,3559343,111489,4592
rfJynCOtrR8,"I tricked rocket league smurfs into 1v1ing a pro",2021-08-28,Long Form,14M10S,undefined,5699738,126922,2885
fePSpcPwIxM,"Rocket League Toxic vs Wholesome - Who is better?",2021-08-21,Long Form,12M51S,undefined,759013,32936,1759
9QrKIztMFvw,"I'm confused about the new Rocket League update",2021-08-14,Long Form,14M2S,undefined,1116432,50249,2023
8YqBgQiiPLw,"I asked you to send me the worst Rocket League video in the world",2021-08-07,Long Form,12M54S,undefined,1445332,57458,1997
N3cEAfWgOko,"Someone made a new version of Rocket League and it's surprisingly good...",2021-07-31,Long Form,9M9S,undefined,1086600,43168,1518
u81vyRWt4r4,"I put a secret gold player in a grand champion lobby to see if they could figure it out",2021-07-24,Long Form,11M59S,undefined,1544522,52855,3746
RtekLgCvp6s,"Every toxic player in Rocket League (part 6)",2021-07-17,Long Form,16M29S,undefined,1764351,60721,3040
KwfnUXFQogw,"Why I'm quitting Rocket League.",2021-07-10,Long Form,12M14S,undefined,1390477,132391,23136
Cy9RLlZOc4o,"I trained 8 PLATINUM players to fight against each other",2021-07-03,Long Form,15M35S,undefined,2614143,60684,6064
RVXM-xljT8s,"Meet the best rumble rocket league player in the world",2021-06-26,Long Form,12M32S,undefined,3301498,79048,2424
