videoId,Title,UploadDate,VideoType,Duration,DurationInS,ViewCount,LikeCount,CommentCount
vo0gmNSRhHY,"the ark survival e x p e r i e n c e",2025-04-27,Long Form,36M16S,2176,2205,129,30
f62ULClHW_Q,"Ranking Minecraft's Most EVIL PvP Kits",2025-02-24,Long Form,20M53S,1253,892837,38498,1131
6_czM68-dIs,"Surviving Horror Mods in an Arctic Wasteland",2024-11-13,Long Form,32M46S,1966,16450,960,109
OMBM3Mp6FkE,"3 guys infinite blocks",2024-09-14,Long Form,37M13S,2233,15460,862,139
DpjZgPfhQ8c,"Minecraft's Goofiest PVP Kits",2024-08-17,Long Form,8M13S,493,136614,8965,403
TdJEOWYoL2o,"Minecraft's Funniest PVP Kits",2024-06-21,Long Form,6M29S,389,474386,21274,613
KYlJZQQyNec,"Hacking on P2W Servers is Hilarious",2024-06-03,Long Form,9M29S,569,40108,1683,283
